group,rel,size,category,summary,has_ip,ips_join,outdated_ips_join,outdated_count,secret_flag,keywords_join
dotclaude,dotclaude/.claude/.credentials.json,433,config,Credentials JSON (contains secrets) - DO NOT COMMIT,False,,,0,0,
dotclaude,dotclaude/.claude/CLAUDE.md,21434,doc,"Markdown doc: HYDRA AUTONOMOUS STEWARD | sections: 🧠 IDENTITY & DIRECTIVE, HYDRA CLUSTER - Configuration v2.5, 🚨 CRITICAL RULES (READ FIRST)",True,"100.111.54.59,100.74.73.44,100.84.120.44,192.168.1.1,192.168.1.100,192.168.1.167,192.168.1.203,192.168.1.216,192.168.1.244,192.168.1.250,192.168.1.251","192.168.1.100,192.168.1.251",2,1,"litellm,letta,qdrant,prometheus,grafana,tabbyapi,ollama,comfyui,n8n,redis,postgres,tailscale,caddy,firecrawl,searxng,perplexica,sillytavern,kokoro"
dotclaude,dotclaude/.claude/debug/0825c743-dcdf-48ed-bcc9-714b98ecd66a.txt,6408,log,Debug log/text (6 KB),False,,,0,0,
dotclaude,dotclaude/.claude/debug/0c01615b-d9ef-48b0-8553-12a79ad35ed5.txt,166589,log,Debug log/text (163 KB),True,"192.168.1.250,192.168.1.252",192.168.1.252,1,0,
dotclaude,dotclaude/.claude/debug/2260dc74-d9a8-46a9-a888-3bbabe95e5b6.txt,6408,log,Debug log/text (6 KB),False,,,0,0,
dotclaude,dotclaude/.claude/debug/4de5fd39-654b-445f-9ff6-2a7ac2a025ae.txt,5858,log,Debug log/text (6 KB),False,,,0,0,
dotclaude,dotclaude/.claude/debug/5218698c-ca65-4193-bf41-4aba9fbbad1b.txt,5864,log,Debug log/text (6 KB),False,,,0,0,
dotclaude,dotclaude/.claude/debug/6dbca6d6-6253-4355-ad53-55268aa051c0.txt,287336,log,Debug log/text (281 KB),True,192.168.1.244,,0,0,hydra-mcp
dotclaude,dotclaude/.claude/debug/6f3336fa-380e-40c4-b745-9829540187df.txt,23566,log,Debug log/text (23 KB),False,,,0,0,
dotclaude,dotclaude/.claude/debug/89dc6918-b689-4c70-a679-f87a436cd996.txt,5858,log,Debug log/text (6 KB),False,,,0,0,
dotclaude,dotclaude/.claude/debug/a2c5b644-74c0-4077-a570-2b56add66180.txt,8461387,log,Debug log/text (8263 KB),True,192.168.1.244,,0,0,hydra-mcp
dotclaude,dotclaude/.claude/debug/a4b98057-f0d9-4f4b-93e1-714433dfc03a.txt,73251,log,Debug log/text (72 KB),True,192.168.1.244,,0,0,hydra-mcp
dotclaude,dotclaude/.claude/debug/a9f9f818-f98c-4a6a-b888-56b7674ba833.txt,311802,log,Debug log/text (304 KB),False,,,0,0,
dotclaude,dotclaude/.claude/debug/c1a38d9a-799c-4235-9380-4dc23f9d6e84.txt,1419026,log,Debug log/text (1386 KB),True,192.168.1.244,,0,0,hydra-mcp
dotclaude,dotclaude/.claude/debug/ce1fe135-729b-48ba-b97c-ccb89a3b765e.txt,5864,log,Debug log/text (6 KB),False,,,0,0,
dotclaude,dotclaude/.claude/debug/d4d7ec14-61d9-48a1-95b8-ea6056af58f9.txt,1035281,log,Debug log/text (1011 KB),False,,,0,0,
dotclaude,dotclaude/.claude/debug/dd3c1b1f-5a99-491d-9e1b-e8fa6ee3857a.txt,5770,log,Debug log/text (6 KB),False,,,0,0,
dotclaude,dotclaude/.claude/debug/e0f80bf0-9ee6-4f85-8be9-594fb23cbaaf.txt,1452,log,Debug log/text (1 KB),False,,,0,0,
dotclaude,dotclaude/.claude/debug/e2a178ef-b9de-4932-8391-175207961cc9.txt,2638715,log,Debug log/text (2577 KB),False,,,0,0,
dotclaude,dotclaude/.claude/debug/e8019c34-e47f-4f89-865c-2cfdf8868b73.txt,21050,log,Debug log/text (21 KB),False,,,0,0,
dotclaude,dotclaude/.claude/debug/ec672d03-5002-4c75-9eef-069d6dfd47e2.txt,495513,log,Debug log/text (484 KB),False,,,0,0,
dotclaude,dotclaude/.claude/debug/f30d8a8a-1111-404c-8a08-c9b44668eec4.txt,2420,log,Debug log/text (2 KB),False,,,0,0,
dotclaude,dotclaude/.claude/debug/f5cc6828-c3e0-4805-b284-f1fc62e96dc4.txt,663927,log,Debug log/text (648 KB),False,,,0,0,
dotclaude,dotclaude/.claude/debug/ff92b025-bdb6-4e06-9f7c-54f49d103020.txt,5864,log,Debug log/text (6 KB),False,,,0,0,
dotclaude,dotclaude/.claude/debug/latest,69,other,Other file,False,,,0,0,
dotclaude,dotclaude/.claude/file-history/6dbca6d6-6253-4355-ad53-55268aa051c0/ef0183f4e40c5cc3@v2,630,other,Other file,True,"192.168.1.224,192.168.1.244,192.168.1.250",192.168.1.224,1,0,hydra-mcp
dotclaude,dotclaude/.claude/file-history/a2c5b644-74c0-4077-a570-2b56add66180/08978ae8853da142@v1,11817,other,Other file,True,"0.0.0.0,192.168.1.203",,0,0,"litellm,letta,qdrant,prometheus"
dotclaude,dotclaude/.claude/file-history/a2c5b644-74c0-4077-a570-2b56add66180/08978ae8853da142@v2,14245,other,Other file,True,"0.0.0.0,192.168.1.203",,0,0,"litellm,letta,qdrant,prometheus"
dotclaude,dotclaude/.claude/file-history/a2c5b644-74c0-4077-a570-2b56add66180/0c880115168b1a0b@v1,2060,other,Other file,False,,,0,0,
dotclaude,dotclaude/.claude/file-history/a2c5b644-74c0-4077-a570-2b56add66180/121df31869f4a212@v1,5453,other,Other file,False,,,0,0,
dotclaude,dotclaude/.claude/file-history/a2c5b644-74c0-4077-a570-2b56add66180/1482367c3b3683e6@v1,7905,other,Other file,True,192.168.1.244,,0,0,"hydra-mcp,letta,alertmanager,n8n"
dotclaude,dotclaude/.claude/file-history/a2c5b644-74c0-4077-a570-2b56add66180/18b80087505bd147@v1,10544,other,Other file,False,,,0,0,"hydra-mcp,litellm,qdrant,prometheus,grafana,alertmanager,dcgm,tabbyapi,ollama"
dotclaude,dotclaude/.claude/file-history/a2c5b644-74c0-4077-a570-2b56add66180/1c1ce35ed3e309a2@v1,4274,other,Other file,True,"192.168.1.203,192.168.1.244",,0,0,"letta,qdrant,prometheus,ollama"
dotclaude,dotclaude/.claude/file-history/a2c5b644-74c0-4077-a570-2b56add66180/1c1ce35ed3e309a2@v2,5340,other,Other file,True,"192.168.1.203,192.168.1.244",,0,0,"letta,qdrant,prometheus,ollama"
dotclaude,dotclaude/.claude/file-history/a2c5b644-74c0-4077-a570-2b56add66180/1eb8c521bb1cae49@v1,1676,other,Other file,False,,,0,0,
dotclaude,dotclaude/.claude/file-history/a2c5b644-74c0-4077-a570-2b56add66180/258958b77623092a@v1,9408,other,Other file,True,"192.168.1.203,192.168.1.244,192.168.1.250",,0,0,"hydra-mcp,litellm,letta,qdrant,prometheus,grafana,tabbyapi,ollama,comfyui,n8n,redis,postgres"
dotclaude,dotclaude/.claude/file-history/a2c5b644-74c0-4077-a570-2b56add66180/258958b77623092a@v2,9917,other,Other file,True,"192.168.1.203,192.168.1.244,192.168.1.250",,0,1,"hydra-mcp,litellm,letta,qdrant,prometheus,grafana,tabbyapi,ollama,comfyui,n8n,redis,postgres"
